iter	Passed	Remaining
586	8484	23313
587	8499	23302
588	8513	23285
589	8526	23268
590	8541	23255
591	8555	23239
592	8568	23219
593	8581	23201
594	8593	23181
595	8608	23167
596	8621	23148
597	8635	23133
598	8651	23123
599	8668	23116
600	8684	23105
601	8695	23083
602	8709	23066
603	8724	23053
604	8739	23040
605	8753	23024
606	8768	23012
607	8783	22998
608	8800	22990
609	8815	22977
610	8830	22965
611	8845	22951
612	8859	22935
613	8876	22927
614	8892	22917
615	8906	22903
616	8920	22886
617	8932	22866
618	8948	22854
619	8963	22842
620	8976	22824
621	8989	22807
622	9005	22794
623	9018	22776
624	9032	22761
625	9048	22751
626	9060	22729
627	9072	22710
628	9086	22695
629	9103	22687
630	9119	22676
631	9135	22665
632	9150	22652
633	9166	22642
634	9182	22630
635	9198	22621
636	9213	22606
637	9226	22589
638	9241	22575
639	9253	22556
640	9273	22553
641	9288	22541
642	9303	22528
643	9319	22516
644	9333	22500
645	9346	22484
646	9363	22476
647	9378	22462
648	9393	22449
649	9409	22438
650	9424	22423
651	9441	22416
652	9456	22402
653	9472	22391
654	9486	22375
655	9500	22361
656	9516	22350
657	9532	22338
658	9548	22327
659	9563	22315
660	9579	22304
661	9594	22290
662	9609	22277
663	9624	22262
664	9642	22257
665	9659	22249
666	9676	22239
667	9691	22226
668	9703	22206
669	9718	22194
670	9733	22178
671	9749	22168
672	9764	22154
673	9777	22137
674	9792	22123
675	9807	22110
676	9820	22092
677	9832	22071
678	9844	22053
679	9860	22040
680	9876	22029
681	9892	22019
682	9907	22005
683	9919	21985
684	9933	21968
685	9946	21951
686	9960	21935
687	9973	21917
688	9990	21908
689	10005	21895
690	10020	21882
691	10034	21866
692	10048	21850
693	10063	21837
694	10075	21817
695	10091	21806
696	10108	21798
697	10122	21781
698	10134	21763
699	10149	21748
700	10166	21739
701	10181	21726
702	10196	21713
703	10209	21694
704	10224	21681
705	10239	21668
706	10254	21655
707	10271	21644
708	10286	21632
709	10302	21621
710	10315	21603
711	10330	21589
712	10343	21571
713	10359	21560
714	10377	21552
715	10391	21538
716	10407	21525
717	10424	21516
718	10439	21503
719	10457	21495
720	10470	21478
721	10487	21468
722	10504	21458
723	10522	21451
724	10535	21433
725	10549	21418
726	10564	21405
727	10577	21387
728	10592	21374
729	10608	21362
730	10620	21343
731	10637	21332
732	10650	21314
733	10665	21302
734	10681	21291
735	10697	21278
736	10708	21257
737	10723	21244
738	10737	21228
739	10750	21210
740	10762	21190
741	10776	21176
742	10789	21158
743	10805	21146
744	10818	21128
745	10831	21111
746	10845	21096
747	10858	21077
748	10874	21066
749	10888	21051
750	10904	21039
751	10916	21020
752	10932	21008
753	10946	20992
754	10962	20981
755	10977	20967
756	10991	20952
757	11006	20939
758	11021	20924
759	11035	20909
760	11048	20891
761	11063	20878
762	11080	20867
763	11095	20854
764	11109	20838
765	11123	20823
766	11138	20809
767	11152	20795
768	11169	20784
769	11186	20774
770	11201	20762
771	11216	20747
772	11230	20731
773	11246	20720
774	11261	20706
775	11273	20688
776	11287	20672
777	11299	20653
778	11315	20641
779	11330	20627
780	11346	20615
781	11359	20598
782	11372	20581
783	11385	20563
784	11399	20548
785	11413	20531
786	11428	20518
787	11444	20507
788	11460	20494
789	11476	20483
790	11494	20474
791	11510	20463
792	11525	20450
793	11541	20436
794	11554	20420
795	11569	20406
796	11583	20391
797	11601	20381
798	11614	20365
799	11627	20347
800	11646	20341
801	11659	20324
802	11673	20308
803	11687	20293
804	11702	20279
805	11718	20266
806	11730	20249
